"","Rank","Name","Nation","Total Points","SP_rank","SP_score","FS_rank","FS_score","Year","Host","Discipline"
"1071","15","Siobhan Heekin-Canedy / Alexander Shakalov","Ukraine","128.70","15","52.31","15","76.39",2011,"Russia","Dance"
"1072","16","Penny Coomes / Nicholas Buckland","Great Britain","126.29","17","51.75","16","74.54",2011,"Russia","Dance"
"1073","17","Huang Xintong / Zheng Xun","China","123.01","16","52.17","17","70.84",2011,"Russia","Dance"
"1074","18","Allison Reed / Otar Japaridze","Georgia","120.11","19","49.44","18","70.67",2011,"Russia","Dance"
"1075","19","Charlene Guignard / Marco Fabbri","Italy","120.02","18","49.80","19","70.22",2011,"Russia","Dance"
"1076","20","Louise Walden / Owen Edwards","Great Britain","116.52","20","46.73","20","69.79",2011,"Russia","Dance"
"1077","1","Tessa Virtue / Scott Moir","Canada","224.43","1","70.27","2","110.03",2010,"Italy","Dance"
"1078","2","Meryl Davis / Charlie White","United States","223.03","2","69.29","1","110.49",2010,"Italy","Dance"
"1079","3","Federica Faiella / Massimo Scali","Italy","197.85","3","59.16","4","97.84",2010,"Italy","Dance"
"1080","4","Nathalie Péchalat / Fabian Bourzat","France","194.39","4","58.55","3","98.09",2010,"Italy","Dance"
"1081","5","Sinead Kerr / John Kerr","United Kingdom","189.11","5","58.23","5","93.32",2010,"Italy","Dance"
"1082","6","Alexandra Zaretsky / Roman Zaretsky","Israel","181.26","6","56.13","6","91.34",2010,"Italy","Dance"
"1083","7","Vanessa Crone / Paul Poirier","Canada","180.30","7","55.76","7","91.22",2010,"Italy","Dance"
"1084","8","Ekaterina Bobrova / Dmitri Soloviev","Russia","177.23","8","55.04","8","89.76",2010,"Italy","Dance"
"1085","9","Emily Samuelson / Evan Bates","United States","168.77","10","52.79","10","83.37",2010,"Italy","Dance"
"1086","10","Nóra Hoffmann / Maxim Zavozin","Hungary","166.90","11","51.91","9","83.52",2010,"Italy","Dance"
"1087","11","Anna Cappellini / Luca Lanotte","Italy","164.52","12","51.40","14","79.07",2010,"Italy","Dance"
"1088","12","Pernelle Carron / Lloyd Jones","France","161.86","13","50.52","12","80.79",2010,"Italy","Dance"
"1089","13","Ekaterina Rubleva / Ivan Shefer","Russia","161.20","16","48.77","11","81.90",2010,"Italy","Dance"
"1090","14","Kimberly Navarro / Brent Bommentre","United States","159.68","15","50.33","15","77.99",2010,"Italy","Dance"
"1091","15","Cathy Reed / Chris Reed","Japan","154.93","14","50.41","13","79.74",2010,"Italy","Dance"
"1092","16","Lucie Myslivečková / Matěj Novák","Czech Republic","147.93","17","46.07","17","74.91",2010,"Italy","Dance"
"1093","17","Caitlin Mallory / Kristjan Rand","Estonia","147.39","21","43.77","16","77.00",2010,"Italy","Dance"
"1094","18","Yu Xiaoyang / Wang Chen","China","142.80","19","44.59","19","69.79",2010,"Italy","Dance"
"1095","19","Kira Geil / Dmitri Matsjuk","Austria","142.49","18","44.88","18","70.92",2010,"Italy","Dance"
"1096","WD","Jana Khokhlova / Sergei Novitski","Russia","91.98","9","54.28","WD","",2010,"Italy","Dance"
"1097","1","Oksana Domnina / Maxim Shabalin","Russia","206.30","2","64.68","1","100.85",2009,"United States","Dance"
"1098","2","Tanith Belbin / Benjamin Agosto","United States","205.08","1","65.16","2","100.27",2009,"United States","Dance"
"1099","3","Tessa Virtue / Scott Moir","Canada","200.40","6","61.05","4","99.98",2009,"United States","Dance"
"1100","4","Meryl Davis / Charlie White","United States","200.36","3","62.60","3","100.03",2009,"United States","Dance"
"1101","5","Nathalie Péchalat / Fabian Bourzat","France","194.36","4","61.83","5","95.99",2009,"United States","Dance"
"1102","6","Jana Khokhlova / Sergei Novitski","Russia","193.41","5","61.68","6","94.39",2009,"United States","Dance"
"1103","7","Sinead Kerr / John Kerr","United Kingdom","186.07","7","60.13","7","90.64",2009,"United States","Dance"
"1104","8","Federica Faiella / Massimo Scali","Italy","182.76","10","55.92","8","90.54",2009,"United States","Dance"
"1105","9","Pernelle Carron / Matthieu Jost","France","178.72","8","57.68","10","86.65",2009,"United States","Dance"
"1106","10","Anna Cappellini / Luca Lanotte","Italy","175.70","9","56.33","11","86.07",2009,"United States","Dance"
"1107","11","Emily Samuelson / Evan Bates","United States","174.76","11","54.97","9","87.28",2009,"United States","Dance"
"1108","12","Vanessa Crone / Paul Poirier","Canada","173.16","12","54.75","12","85.08",2009,"United States","Dance"
"1109","13","Alexandra Zaretski / Roman Zaretski","Israel","167.53","13","54.19","14","80.49",2009,"United States","Dance"
"1110","14","Katherine Copely / Deividas Stagniūnas","Lithuania","160.00","14","49.79","13","81.75",2009,"United States","Dance"
"1111","15","Anna Zadorozhniuk / Sergei Verbillo","Ukraine","154.49","19","46.94","15","77.21",2009,"United States","Dance"
"1112","16","Cathy Reed / Chris Reed","Japan","151.04","15","49.58","16","74.22",2009,"United States","Dance"
"1113","17","Carolina Hermann / Daniel Hermann","Germany","147.77","16","48.89","18","72.23",2009,"United States","Dance"
"1114","18","Kristin Fraser / Igor Lukanin","Azerbaijan","147.45","18","48.06","20","69.04",2009,"United States","Dance"
"1115","19","Zoé Blanc / Pierre-Loup Bouquet","France","146.08","17","48.24","19","70.68",2009,"United States","Dance"
"1116","20","Caitlin Mallory / Kristian Rand","Estonia","143.69","21","45.69","17","72.89",2009,"United States","Dance"
"1117","1","Isabelle Delobel / Olivier Schoenfelder","France","212.94","1","67.25","2","104.96",2008,"Sweden","Dance"
"1118","2","Tessa Virtue / Scott Moir","Canada","208.80","3","64.81","1","105.28",2008,"Sweden","Dance"
"1119","3","Jana Khokhlova / Sergei Novitski","Russia","203.26","2","65.99","5","99.29",2008,"Sweden","Dance"
"1120","4","Tanith Belbin / Benjamin Agosto","United States","203.00","4","64.69","3","103.29",2008,"Sweden","Dance"
"1121","5","Federica Faiella / Massimo Scali","Italy","201.91","5","63.55","4","101.21",2008,"Sweden","Dance"
"1122","6","Meryl Davis / Charlie White","United States","191.19","7","60.36","6","96.03",2008,"Sweden","Dance"
"1123","7","Nathalie Péchalat / Fabian Bourzat","France","190.51","6","60.67","7","95.02",2008,"Sweden","Dance"
"1124","8","Sinead Kerr / John Kerr","United Kingdom","186.94","8","59.86","8","93.60",2008,"Sweden","Dance"
"1125","9","Alexandra Zaretski / Roman Zaretski","Israel","179.21","9","58.10","10","88.60",2008,"Sweden","Dance"
"1126","10","Anna Cappellini / Luca Lanotte","Italy","179.03","10","57.05","9","90.46",2008,"Sweden","Dance"
"1127","11","Kristin Fraser / Igor Lukanin","Azerbaijan","173.95","11","56.35","11","85.74",2008,"Sweden","Dance"
"1128","12","Kimberly Navarro / Brent Bommentre","United States","165.90","13","52.10","14","82.32",2008,"Sweden","Dance"
"1129","13","Ekaterina Bobrova / Dmitri Soloviev","Russia","164.72","12","52.88","13","82.72",2008,"Sweden","Dance"
"1130","14","Katherine Copely / Deividas Stagniūnas","Lithuania","164.28","14","51.66","12","82.77",2008,"Sweden","Dance"
"1131","15","Ekaterina Rubleva / Ivan Shefer","Russia","160.37","15","49.52","15","81.71",2008,"Sweden","Dance"
"1132","16","Cathy Reed / Chris Reed","Japan","155.15","18","47.70","16","79.29",2008,"Sweden","Dance"
"1133","17","Kaitlyn Weaver / Andrew Poje","Canada","154.84","17","48.62","17","78.48",2008,"Sweden","Dance"
"1134","18","Anna Zadorozhniuk / Sergei Verbillo","Ukraine","153.25","16","49.17","21","74.77",2008,"Sweden","Dance"
"1135","19","Allie Hann-McCurdy / Michael Coreno","Canada","153.13","19","47.01","18","77.79",2008,"Sweden","Dance"
"1136","20","Nelli Zhiganshina / Alexander Gazsi","Germany","150.82","21","45.52","19","77.23",2008,"Sweden","Dance"
"1137","1","Albena Denkova / Maxim Staviski","Bulgaria","201.61","1","62.10","1","102.09",2007,"Japan","Dance"
"1138","2","Marie-France Dubreuil / Patrice Lauzon","Canada","200.46","3","60.54","2","100.96",2007,"Japan","Dance"
"1139","3","Tanith Belbin / Benjamin Agosto","United States","195.43","2","61.85","4","96.41",2007,"Japan","Dance"
"1140","4","Isabelle Delobel / Olivier Schoenfelder","France","195.19","5","58.82","3","99.17",2007,"Japan","Dance"
"1141","5","Oksana Domnina / Maxim Shabalin","Russia","193.44","4","60.34","5","95.81",2007,"Japan","Dance"
"1142","6","Tessa Virtue / Scott Moir","Canada","183.94","6","57.11","6","95.38",2007,"Japan","Dance"
"1143","7","Meryl Davis / Charlie White","United States","179.14","8","55.82","7","92.17",2007,"Japan","Dance"
"1144","8","Jana Khokhlova / Sergei Novitski","Russia","178.29","7","55.88","8","89.09",2007,"Japan","Dance"
"1145","9","Federica Faiella / Massimo Scali","Italy","170.75","9","53.32","11","84.14",2007,"Japan","Dance"
"1146","10","Melissa Gregory / Denis Petukhov","United States","170.08","10","53.15","9","86.10",2007,"Japan","Dance"
"1147","11","Sinead Kerr / John Kerr","United Kingdom","167.14","11","51.51","12","83.54",2007,"Japan","Dance"
"1148","12","Nathalie Péchalat / Fabian Bourzat","France","162.05","13","49.10","10","84.36",2007,"Japan","Dance"
"1149","13","Anna Cappellini / Luca Lanotte","Italy","158.83","16","47.60","13","82.32",2007,"Japan","Dance"
"1150","14","Alexandra Zaretski / Roman Zaretski","Israel","156.52","12","49.11","14","78.56",2007,"Japan","Dance"
"1151","15","Nozomi Watanabe / Akiyuki Kido","Japan","152.21","17","47.27","15","76.48",2007,"Japan","Dance"
"1152","16","Kristin Fraser / Igor Lukanin","Azerbaijan","152.10","14","48.13","16","75.90",2007,"Japan","Dance"
"1153","17","Anna Zadorozhniuk / Sergei Verbillo","Ukraine","148.13","15","47.84","17","73.37",2007,"Japan","Dance"
"1154","18","Nelli Zhiganshina / Alexander Gazsi","Germany","142.87","18","45.39","19","71.92",2007,"Japan","Dance"
"1155","19","Grethe Grünberg / Kristian Rand","Estonia","141.55","19","45.13","18","72.70",2007,"Japan","Dance"
"1156","20","Kaitlyn Weaver / Andrew Poje","Canada","140.14","23","42.58","20","71.80",2007,"Japan","Dance"
"1157","1","Albena Denkova / Maxim Staviski","Bulgaria","199.14","1","60.94","3","99.74",2006,"Canada","Dance"
"1158","2","Marie-France Dubreuil / Patrice Lauzon","Canada","198.69","3","59.81","1","100.57",2006,"Canada","Dance"
"1159","3","Tanith Belbin / Benjamin Agosto","United States","196.74","4","59.65","4","99.50",2006,"Canada","Dance"
"1160","4","Margarita Drobiazko / Povilas Vanagas","Lithuania","195.87","5","59.60","2","99.75",2006,"Canada","Dance"
"1161","5","Isabelle Delobel / Olivier Schoenfelder","France","195.44","2","60.02","5","98.12",2006,"Canada","Dance"
"1162","6","Galit Chait / Sergei Sakhnovski","Israel","181.29","7","54.59","6","91.93",2006,"Canada","Dance"
"1163","7","Oksana Domnina / Maxim Shabalin","Russia","178.39","6","55.06","7","89.22",2006,"Canada","Dance"
"1164","8","Federica Faiella / Massimo Scali","Italy","172.10","10","51.42","8","88.08",2006,"Canada","Dance"
"1165","9","Melissa Gregory / Denis Petukhov","United States","171.06","9","52.24","10","86.45",2006,"Canada","Dance"
"1166","10","Megan Wing / Aaron Lowe","Canada","170.51","8","52.54","11","85.07",2006,"Canada","Dance"
"1167","11","Sinead Kerr / John Kerr","United Kingdom","167.83","11","51.32","9","86.49",2006,"Canada","Dance"
"1168","12","Jana Khokhlova / Sergei Novitski","Russia","162.15","16","46.54","12","84.51",2006,"Canada","Dance"
"1169","13","Christina Beier / William Beier","Germany","154.94","14","46.82","13","78.45",2006,"Canada","Dance"
"1170","14","Kristin Fraser / Igor Lukanin","Azerbaijan","154.28","13","46.92","15","77.96",2006,"Canada","Dance"
"1171","15","Nathalie Péchalat / Fabian Bourzat","France","154.00","12","48.28","17","76.41",2006,"Canada","Dance"
"1172","16","Morgan Matthews / Maxim Zavozin","United States","152.97","18","45.59","14","78.29",2006,"Canada","Dance"
"1173","17","Nozomi Watanabe / Akiyuki Kido","Japan","152.96","15","46.82","16","77.67",2006,"Canada","Dance"
"1174","18","Nóra Hoffmann / Attila Elek","Hungary","150.78","17","46.10","18","76.21",2006,"Canada","Dance"
"1175","19","Alexandra Kauc / Michał Zych","Poland","144.21","20","44.24","19","73.15",2006,"Canada","Dance"
"1176","20","Alexandra Zaretski / Roman Zaretski","Israel","140.14","22","43.52","20","71.13",2006,"Canada","Dance"
