"","Rank","Name","Nation","Total Points","SP_rank","SP_score","FS_rank","FS_score","Year","Host"
"12","12","Alexander Samarin","Russia","246.33","20","78.38","7","167.95",2019,"Japan"
"13","13","Morisi Kvitelashvili","Georgia","240.74","12","82.67","13","158.07",2019,"Japan"
"14","14","Keiji Tanaka","Japan","238.40","19","78.76","11","159.64",2019,"Japan"
"15","15","Keegan Messing","Canada","237.64","14","82.38","15","155.26",2019,"Japan"
"16","16","Nam Nguyen","Canada","237.27","13","82.51","16","154.76",2019,"Japan"
"17","17","Vladimir Litvintsev","Azerbaijan","230.84","16","81.46","19","149.38",2019,"Japan"
"18","18","Alexander Majorov","Sweden","229.72","17","79.17","17","150.55",2019,"Japan"
"19","19","Cha Jun-hwan","South Korea","229.26","18","79.17","18","150.09",2019,"Japan"
"20","20","Brendan Kerry","Australia","222.02","21","78.26","21","143.76",2019,"Japan"
"21","21","Deniss Vasiļjevs","Latvia","218.52","23","74.74","20","143.78",2019,"Japan"
"22","22","Oleksii Bychenko","Israel","216.60","22","77.67","22","138.93",2019,"Japan"
"23","23","Julian Zhi Jie Yee","Malaysia","205.97","24","73.63","23","132.34",2019,"Japan"
"24","24","Daniel Samohin","Israel","205.28","15","82.00","24","123.28",2019,"Japan"
"25","1","Nathan Chen","United States","321.40","1","101.94","1","219.46",2018,"Italy"
"26","2","Shoma Uno","Japan","273.77","5","94.26","2","179.51",2018,"Italy"
