"","Rank","Name","Nation","Total Points","SP_rank","SP_score","FS_rank","FS_score","Year","Host"
"1","1","Nathan Chen","United States","323.42","1","107.40","1","216.02",2019,"Japan"
"2","2","Yuzuru Hanyu","Japan","300.97","3","94.87","2","206.10",2019,"Japan"
"3","3","Vincent Zhou","United States","281.16","4","94.17","3","186.99",2019,"Japan"
"4","4","Shoma Uno","Japan","270.32","6","91.40","4","178.92",2019,"Japan"
"5","5","Jin Boyang","China","262.71","9","84.26","5","178.45",2019,"Japan"
"6","6","Mikhail Kolyada","Russia","262.44","10","84.23","6","178.21",2019,"Japan"
"7","7","Matteo Rizzo","Italy","257.66","5","93.37","10","164.29",2019,"Japan"
"8","8","Michal Březina","Czech Republic","254.28","8","86.96","8","167.32",2019,"Japan"
"9","9","Jason Brown","United States","254.15","2","96.81","14","157.34",2019,"Japan"
"10","10","Andrei Lazukin","Russia","248.74","11","84.05","9","164.69",2019,"Japan"
"11","11","Kévin Aymoz","France","247.47","7","88.24","12","159.23",2019,"Japan"
